Pheno_code,ShapValues_cv,TotalGain_cv,TotalCover_cv,Ensemble,FieldID,Path,Category,FieldName,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Notes
20500-0.0,0.036425795,0.155392315,0.006177778,0.065998629,20500,Online follow-up > Mental health > Mental distress,137,Suffering mental distress ,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \In your life
20450-0.0,0.049736673,0.143325509,0.016622222,0.069894801,20450,Online follow-up > Mental health > Depression,138,Feelings of worthlessness,89028,89028,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \People sometimes feel down on themselves
20433-0.0,0.084473503,0.08942191,0.092111111,0.088668841,20433,Online follow-up > Mental health > Depression,138,Age at first episode of depression,89028,89028,Accruing,Integer,,Data,Primary,Unisex,1,1,"Question asked: \About how old were you the FIRST time you had a period of two weeks like this? (Whether or not you received any help for it.)\""  Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."""
2100-0.0,0.077545748,0.08152259,0.041288889,0.066785742,2100,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Seen psychiatrists for  anxiety/depression,501590,574016,Complete,Categorical single,,Data,Primary,Unisex,4,1,ACE touchscreen question \Have you ever seen a psychiatrist for nerves
20437-0.0,0.088006618,0.074103406,0.051244444,0.071118156,20437,Online follow-up > Mental health > Depression,138,Thoughts of death during depression,89028,89028,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \Did you think a lot about death - either your own
20499-0.0,0.011236792,0.053965436,0.002511111,0.022571113,20499,Online follow-up > Mental health > Mental distress,137,Ever sought/received help for mental distress,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \In your life
20544-0.0-11,0.048557109,0.044026621,0.014533333,0.035705687,20544,Online follow-up > Mental health > Mental distress,137,Depression diagnosed by professional,50088,74866,Accruing,Categorical multiple,,Data,Primary,Unisex,1,16,Question asked: \Have you been diagnosed with one or more of the following mental health problems by a professional
20531-0.0,0.017879288,0.03332003,0.025888889,0.025696069,20531,Online follow-up > Mental health > Traumatic events,145,Victim of sexual assault,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \In your life
20489-0.0,0.021131412,0.027057018,0.027555556,0.025247995,20489,Online follow-up > Mental health > Traumatic events,145,Felt loved as a child,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \When I was growing up... I felt loved\"""""
2149-0.0,0.041081913,0.021043415,0.042733333,0.034952887,2149,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors,100056,Lifetime number of sexual partners,452367,516582,Complete,Integer,,Data,Primary,Unisex,4,1,"ACE touchscreen question \About how many sexual partners have you had in your lifetime?\"" The following checks were performed:  If answer   If answer > 99997 then rejected  If answer > 99 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Sexual intercourse includes vaginal"
20487-0.0,0.011290609,0.019321623,0.016422222,0.015678151,20487,Online follow-up > Mental health > Traumatic events,145,Felt hated by family member as a child,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \When I was growing up... I felt that someone in my family hated me\"""""
99999992-0.0,0.009698724,0.018240189,0.021888889,0.016609267,99999992,,,Traumatic events,,,,,,,,,,,Traumatic events
20523-0.0,0.017460059,0.016602515,0.022155556,0.018739377,20523,Online follow-up > Mental health > Traumatic events,145,Physical violence by partners,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \Since I was sixteen... A partner or ex-partner deliberately hit me or used violence in any other way\"""""
20521-0.0,0.007682591,0.014035088,0.0136,0.01177256,20521,Online follow-up > Mental health > Traumatic events,145,Belittlement by partners,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \Since I was sixteen... A partner or ex-partner repeatedly belittled me to the extent that I felt worthless\"""""
