Pheno_code,AUC_mean,AUC_std,p_delong,AUC_0,AUC_1,AUC_2,AUC_3,AUC_4,AUC_5,AUC_6,AUC_7,AUC_8,AUC_9,FieldID,Path,Category,FieldName,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Notes
20500-0.0,0.763,0.009,0,0.753,0.781,0.76,0.757,0.756,0.752,0.766,0.763,0.769,0.772,20500,Online follow-up > Mental health > Mental distress,137,Suffering mental distress ,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \In your life
20450-0.0,0.827,0.006,2.01E-151,0.818,0.835,0.821,0.822,0.821,0.824,0.831,0.826,0.832,0.836,20450,Online follow-up > Mental health > Depression,138,Feelings of worthlessness,89028,89028,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \People sometimes feel down on themselves
20433-0.0,0.859,0.008,8.97E-94,0.848,0.872,0.853,0.853,0.862,0.849,0.859,0.863,0.867,0.867,20433,Online follow-up > Mental health > Depression,138,Age at first episode of depression,89028,89028,Accruing,Integer,,Data,Primary,Unisex,1,1,"Question asked: \About how old were you the FIRST time you had a period of two weeks like this? (Whether or not you received any help for it.)\""  Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."""
2100-0.0,0.872,0.006,3.70E-34,0.865,0.877,0.868,0.865,0.872,0.867,0.874,0.872,0.883,0.878,2100,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,100060,Seen psychiatrists for  anxiety/depression,501590,574016,Complete,Categorical single,,Data,Primary,Unisex,4,1,ACE touchscreen question \Have you ever seen a psychiatrist for nerves
20437-0.0,0.881,0.007,1.17E-21,0.872,0.89,0.875,0.872,0.883,0.874,0.888,0.881,0.889,0.882,20437,Online follow-up > Mental health > Depression,138,Thoughts of death during depression,89028,89028,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \Did you think a lot about death - either your own
20499-0.0,0.883,0.007,0.004207445,0.874,0.894,0.873,0.875,0.885,0.876,0.886,0.886,0.891,0.889,20499,Online follow-up > Mental health > Mental distress,137,Ever sought/received help for mental distress,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \In your life
20544-0.0-11,0.885,0.008,0.000219539,0.873,0.891,0.876,0.877,0.889,0.877,0.894,0.888,0.894,0.888,20544,Online follow-up > Mental health > Mental distress,137,Depression diagnosed by professional,50088,74866,Accruing,Categorical multiple,,Data,Primary,Unisex,1,16,Question asked: \Have you been diagnosed with one or more of the following mental health problems by a professional
20531-0.0,0.893,0.007,2.22E-13,0.88,0.903,0.884,0.888,0.897,0.887,0.901,0.892,0.899,0.897,20531,Online follow-up > Mental health > Traumatic events,145,Victim of sexual assault,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,Question asked: \In your life
20489-0.0,0.899,0.007,3.92E-12,0.887,0.911,0.892,0.897,0.901,0.892,0.904,0.897,0.902,0.909,20489,Online follow-up > Mental health > Traumatic events,145,Felt loved as a child,157336,157336,Accruing,Categorical single,,Data,Primary,Unisex,1,1,"Question asked: \When I was growing up... I felt loved\"""""
2149-0.0,0.905,0.008,1.17E-14,0.89,0.916,0.895,0.905,0.908,0.896,0.909,0.905,0.91,0.913,2149,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors,100056,Lifetime number of sexual partners,452367,516582,Complete,Integer,,Data,Primary,Unisex,4,1,"ACE touchscreen question \About how many sexual partners have you had in your lifetime?\"" The following checks were performed:  If answer   If answer > 99997 then rejected  If answer > 99 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Sexual intercourse includes vaginal"
