Cutoff,AUC,APR,Acc,Sens,Spec,Prec,Youden,F1,NND,BRIER,fold
0.0231,0.8967,0.2798,0.8001,0.8306,0.7993,0.1025,0.6299,0.1826,1.5876,0.0221,Region_code_0
0.0231,0.9152,0.3289,0.8387,0.8406,0.8387,0.1151,0.6793,0.2024,1.4722,0.0193,Region_code_1
0.0231,0.8991,0.2406,0.8369,0.7984,0.8378,0.1046,0.6361,0.185,1.572,0.0197,Region_code_2
0.0231,0.9057,0.251,0.8403,0.8253,0.8407,0.0974,0.666,0.1743,1.5016,0.0171,Region_code_3
0.0231,0.9108,0.2701,0.8283,0.8371,0.8281,0.0998,0.6652,0.1783,1.5033,0.0184,Region_code_4
0.0231,0.9045,0.3113,0.828,0.8218,0.8282,0.1208,0.65,0.2106,1.5385,0.0225,Region_code_5
0.0231,0.9123,0.3191,0.8362,0.8333,0.8363,0.1054,0.6696,0.1871,1.4934,0.0182,Region_code_6
0.0231,0.9136,0.2556,0.8495,0.8344,0.8498,0.1,0.6842,0.1786,1.4615,0.0163,Region_code_7
0.0231,0.9108,0.3392,0.8294,0.8629,0.8285,0.1086,0.6914,0.1928,1.4463,0.0186,Region_code_8
0.0231,0.9165,0.267,0.8509,0.848,0.8509,0.103,0.699,0.1837,1.4307,0.0166,Region_code_9
0.023100000000000002,0.9085199999999999,0.28626,0.8338299999999998,0.83324,0.8338300000000001,0.10572000000000001,0.66707,0.18753999999999998,1.50071,0.01888,Mean
1.097135458930219e-18,0.006413704077988001,0.03356820519479706,0.013562673040370761,0.01607079338427322,0.013872494368353512,0.006926730830629987,0.02167408821611649,0.010801129570558812,0.049328743142310026,0.0020028979005431106,Std
0.023 +- 0.0,0.909 +- 0.006,0.286 +- 0.034,0.834 +- 0.014,0.833 +- 0.016,0.834 +- 0.014,0.106 +- 0.007,0.667 +- 0.022,0.188 +- 0.011,1.501 +- 0.049,0.019 +- 0.002,Output
