,AUC,Acc,Sens,Spec,Prec,Youden,F1
0,0.89499,0.81325,0.81255,0.81328,0.1072,0.62582,0.18923
1,0.92035,0.85899,0.84509,0.85935,0.1289,0.70447,0.22097
2,0.90227,0.81992,0.82218,0.81986,0.09761,0.64206,0.17433
3,0.90709,0.8407,0.84062,0.84072,0.09917,0.68135,0.17689
4,0.90937,0.83408,0.83408,0.83406,0.10312,0.66815,0.18327
5,0.89866,0.8186,0.81454,0.81857,0.11456,0.63314,0.2004
6,0.91469,0.82942,0.83234,0.82942,0.10162,0.66177,0.18044
7,0.90779,0.83783,0.83998,0.83784,0.09425,0.67785,0.16896
8,0.91215,0.83648,0.83879,0.83647,0.11061,0.67527,0.19484
9,0.91658,0.84187,0.84718,0.84185,0.09655,0.689,0.17242
MEAN,0.908394,0.833114,0.832735,0.833142,0.105359,0.665888,0.186175
STD,0.007606858,0.012772032,0.011681163,0.012849946,0.009940582,0.024001342,0.015002862
output,0.908 +- 0.008,0.833 +- 0.013,0.833 +- 0.012,0.833 +- 0.013,0.105 +- 0.01,0.666 +- 0.024,0.186 +- 0.015
