,AUC,Acc,Sens,Spec,Prec,Youden,F1
0,0.89071,0.80488,0.80443,0.80486,0.10215,0.60929,0.18116
1,0.9176,0.83736,0.82319,0.83737,0.1117,0.66054,0.19481
2,0.89537,0.81791,0.82094,0.8179,0.09638,0.63883,0.17235
3,0.89657,0.81585,0.81527,0.81586,0.08481,0.63113,0.15325
4,0.90164,0.83505,0.83405,0.83505,0.10378,0.66911,0.18432
5,0.89444,0.81914,0.81318,0.81914,0.11472,0.63232,0.20061
6,0.91195,0.83642,0.84526,0.83643,0.10647,0.68169,0.18825
7,0.90473,0.84214,0.84474,0.84219,0.09704,0.68695,0.17352
8,0.90129,0.83436,0.83686,0.83436,0.10894,0.67121,0.19218
9,0.91117,0.83963,0.84223,0.83962,0.09475,0.68187,0.16947
MEAN,0.902547,0.828274,0.828015,0.828278,0.102074,0.656294,0.180992
STD,0.008304248,0.012023179,0.013805571,0.012033164,0.008552272,0.025230916,0.013407635
output,0.903 +- 0.008,0.828 +- 0.012,0.828 +- 0.014,0.828 +- 0.012,0.102 +- 0.009,0.656 +- 0.025,0.181 +- 0.013
