,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.022,0.859,0.8889,0.8587,0.0533,0.7476,0.1006,0.9024,0.2522,1.3376,0.0079
inner_cv_iter1,0.022,0.8348,0.8889,0.8338,0.0894,0.7227,0.1624,0.9176,0.215,1.3836,0.0156
inner_cv_iter2,0.022,0.8368,0.8065,0.8377,0.1302,0.6442,0.2242,0.924,0.3589,1.5524,0.0228
inner_cv_iter3,0.022,0.8287,0.8333,0.8286,0.1053,0.662,0.1869,0.8937,0.2907,1.5107,0.0196
inner_cv_iter4,0.022,0.8439,0.75,0.8457,0.0867,0.5957,0.1554,0.8967,0.3451,1.6787,0.0159
inner_cv_iter5,0.022,0.8381,0.9,0.8369,0.0963,0.7369,0.1739,0.911,0.3832,1.3571,0.015
inner_cv_iter6,0.022,0.8442,0.8,0.8451,0.093,0.6451,0.1667,0.9194,0.2398,1.5502,0.0166
inner_cv_iter7,0.022,0.8314,0.913,0.8295,0.1094,0.7426,0.1953,0.9186,0.214,1.3467,0.0197
inner_cv_iter8,0.022,0.8213,0.8235,0.8212,0.0714,0.6447,0.1315,0.9045,0.14,1.551,0.0158
inner_cv_iter9,0.022,0.8581,0.8182,0.859,0.1125,0.6772,0.1978,0.9238,0.2032,1.4767,0.0188
Mean,0.022,0.83963,0.84223,0.83962,0.09475,0.6818700000000001,0.16947,0.91117,0.26420999999999994,1.47447,0.01677
StandarDeviation,3.6387866614659135e-18,0.011455657990704842,0.05027556165772791,0.011894267526838288,0.020639537301015254,0.049697606582208766,0.03350970158028866,0.010603871934345475,0.0742986063126355,0.10852837463078495,0.0037680366240258334
Output,0.022 +- 0.0,0.84 +- 0.011,0.842 +- 0.05,0.84 +- 0.012,0.095 +- 0.021,0.682 +- 0.05,0.169 +- 0.034,0.911 +- 0.011,0.264 +- 0.074,1.474 +- 0.109,0.017 +- 0.004
