,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
0,0.027699999999999995,0.81325,0.8125500000000001,0.81328,0.1072,0.62582,0.18923,0.89499,0.29359999999999997,1.60179,0.0221
1,0.0267,0.8589900000000001,0.8450899999999999,0.8593500000000001,0.12890000000000001,0.7044699999999999,0.22096999999999997,0.92035,0.3804,1.45769,0.01891
2,0.0202,0.81992,0.82218,0.8198599999999999,0.09761,0.6420600000000001,0.17432999999999996,0.90227,0.27684999999999993,1.56547,0.019440000000000002
3,0.023100000000000002,0.8407,0.84062,0.8407199999999999,0.09917000000000001,0.6813499999999999,0.17689000000000002,0.9070900000000002,0.28358,1.4817500000000001,0.01713
4,0.0244,0.8340799999999999,0.8340799999999999,0.83406,0.10312000000000002,0.66815,0.18327,0.9093700000000002,0.28142,1.5028400000000002,0.01845
5,0.0219,0.8186,0.81454,0.81857,0.11456,0.63314,0.2004,0.8986599999999999,0.30998000000000003,1.60321,0.02278
6,0.021799999999999996,0.82942,0.83234,0.82942,0.10162,0.66177,0.18044000000000002,0.91469,0.35247,1.5416,0.01812
7,0.0221,0.83783,0.8399800000000001,0.8378400000000001,0.09425,0.67785,0.16896,0.90779,0.28396,1.48285,0.016319999999999998
8,0.024299999999999995,0.8364799999999999,0.83879,0.8364699999999999,0.11061000000000001,0.6752699999999999,0.19483999999999999,0.9121500000000001,0.37429999999999997,1.4861499999999999,0.018349999999999998
9,0.021299999999999996,0.8418699999999999,0.84718,0.84185,0.09655000000000001,0.6890000000000001,0.17242,0.91658,0.29376,1.45797,0.01643
MEAN,0.02335,0.8331139999999999,0.8327350000000001,0.8331420000000002,0.10535900000000001,0.665888,0.18617499999999998,0.908394,0.3130319999999999,1.518132,0.018803
STD,0.002289213838853854,0.012772032101431642,0.011681162827390063,0.012849946147747092,0.009940581924615884,0.024001342379125344,0.015002861893652152,0.0076068576955271305,0.03824520304561083,0.053034352037146654,0.002061446336919786
output,0.023 +- 0.002,0.833 +- 0.013,0.833 +- 0.012,0.833 +- 0.013,0.105 +- 0.01,0.666 +- 0.024,0.186 +- 0.015,0.908 +- 0.008,0.313 +- 0.038,1.518 +- 0.053,0.019 +- 0.002
