,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
0,0.0249,0.80488,0.80443,0.80486,0.10215,0.6092899999999999,0.18116000000000004,0.89071,0.28241,1.6451900000000002,0.022269999999999998
1,0.0235,0.83736,0.82319,0.83737,0.1117,0.66054,0.19480999999999998,0.9176000000000002,0.33976,1.54487,0.01939
2,0.020499999999999997,0.81791,0.82094,0.8179000000000001,0.09638,0.6388300000000001,0.17235,0.89537,0.24907999999999997,1.56979,0.01976
3,0.0201,0.81585,0.8152699999999999,0.81586,0.08481,0.63113,0.15325,0.89657,0.27901000000000004,1.611,0.017349999999999997
4,0.0262,0.8350500000000001,0.8340499999999998,0.8350500000000001,0.10378000000000001,0.6691100000000001,0.18431999999999998,0.9016399999999999,0.26457,1.50208,0.018709999999999997
5,0.0216,0.81914,0.81318,0.81914,0.11472,0.63232,0.20061,0.8944399999999998,0.29829,1.60778,0.022949999999999998
6,0.0234,0.83642,0.8452599999999999,0.83643,0.10646999999999998,0.6816899999999999,0.18824999999999997,0.91195,0.3196,1.4968700000000001,0.01854
7,0.023299999999999998,0.84214,0.84474,0.8421899999999999,0.09703999999999999,0.6869500000000001,0.17352,0.90473,0.28023999999999993,1.4602899999999999,0.01645
8,0.0259,0.83436,0.83686,0.83436,0.10894,0.67121,0.19218000000000002,0.90129,0.34411,1.50242,0.018799999999999997
9,0.022,0.83963,0.84223,0.83962,0.09475,0.6818700000000001,0.16947,0.91117,0.26420999999999994,1.47447,0.01677
MEAN,0.02314,0.8282740000000001,0.828015,0.8282780000000001,0.102074,0.656294,0.180992,0.902547,0.292128,1.541476,0.019098999999999998
STD,0.0020045947221321325,0.012023179446386053,0.01380557079587802,0.012033164006195522,0.00855227244654893,0.025230916035689256,0.013407634989064998,0.008304248370563172,0.03092483008845806,0.060784606965908754,0.0020361898241568733
output,0.023 +- 0.002,0.828 +- 0.012,0.828 +- 0.014,0.828 +- 0.012,0.102 +- 0.009,0.656 +- 0.025,0.181 +- 0.013,0.903 +- 0.008,0.292 +- 0.031,1.541 +- 0.061,0.019 +- 0.002
