,Cutoff,Acc,Sens,Spec,Prec,Youden,F1,AUC,APR,NND,BRIER
inner_cv_iter0,0.0234,0.8312,0.8889,0.8297,0.1231,0.7186,0.2162,0.9006,0.2366,1.3917,0.0226
inner_cv_iter1,0.0234,0.8475,0.6129,0.855,0.118,0.4679,0.1979,0.8515,0.2651,2.1374,0.0265
inner_cv_iter2,0.0234,0.8243,0.875,0.8235,0.0722,0.6985,0.1333,0.9111,0.1868,1.4316,0.0145
inner_cv_iter3,0.0234,0.8207,0.9,0.8191,0.0928,0.7191,0.1682,0.943,0.4249,1.3906,0.0155
inner_cv_iter4,0.0234,0.8415,0.9524,0.8392,0.1111,0.7916,0.199,0.9571,0.4472,1.2633,0.0153
inner_cv_iter5,0.0234,0.8316,0.7917,0.8325,0.0979,0.6242,0.1743,0.8795,0.2115,1.602,0.0197
inner_cv_iter6,0.0234,0.8322,0.7895,0.833,0.0798,0.6225,0.1449,0.8848,0.2385,1.6065,0.0157
inner_cv_iter7,0.0234,0.8449,0.92,0.843,0.1264,0.763,0.2222,0.927,0.4125,1.3105,0.0179
inner_cv_iter8,0.0234,0.8338,0.8889,0.8323,0.1244,0.7212,0.2182,0.931,0.4009,1.3865,0.0202
inner_cv_iter9,0.0234,0.8565,0.8333,0.857,0.119,0.6903,0.2083,0.9339,0.372,1.4486,0.0175
Mean,0.0234,0.83642,0.8452599999999999,0.83643,0.10646999999999998,0.6816899999999999,0.18824999999999997,0.91195,0.3196,1.4968700000000001,0.01854
StandarDeviation,0.0,0.010453975320422375,0.09212325656423574,0.011729795394634963,0.018581337411499747,0.0871124841799383,0.029894522909723782,0.03106075498116553,0.09545345462580178,0.23743719190556475,0.0035994999652729544
Output,0.023 +- 0.0,0.836 +- 0.01,0.845 +- 0.092,0.836 +- 0.012,0.106 +- 0.019,0.682 +- 0.087,0.188 +- 0.03,0.912 +- 0.031,0.32 +- 0.095,1.497 +- 0.237,0.019 +- 0.004
