Feature,FieldID,FieldName,Importance_cv0,Importance_cv1,Importance_cv2,Importance_cv3,Importance_cv4,Importance_cv5,Importance_cv6,Importance_cv7,Importance_cv8,Importance_cv9,Importance_cv,Importance_std
20500-0.0,20500,Suffering mental distress ,0.125984157,0.147437515,0.128769754,0.174105784,0.175548034,0.182368489,0.155749848,0.143858181,0.163056828,0.160096753,0.155697534,0.019247364
20450-0.0,20450,Feelings of worthlessness,0.160728501,0.148418037,0.152607369,0.118993377,0.116222373,0.118608238,0.146856389,0.158864011,0.131705239,0.134111778,0.138711531,0.017040719
20433-0.0,20433,Age at first episode of depression,0.085406058,0.089339076,0.088685564,0.093767641,0.081784674,0.097627113,0.090807637,0.087788083,0.089088928,0.089684217,0.089397899,0.004294412
2100-0.0,2100,Seen psychiatrists for  anxiety/depression,0.075272836,0.0838219,0.080596648,0.078405752,0.079782954,0.074867098,0.081219122,0.085782238,0.075763503,0.081432955,0.079694501,0.003655026
20437-0.0,20437,Thoughts of death during depression,0.069387414,0.072050718,0.076281466,0.076033095,0.070763061,0.076073928,0.072772734,0.071391922,0.072899445,0.075778052,0.073343184,0.002528944
20499-0.0,20499,Ever sought/received help for mental distress,0.046638619,0.052071772,0.06293923,0.057519239,0.057631821,0.052968231,0.046341636,0.04740566,0.05455822,0.056924689,0.053499912,0.005507146
20544-0.0-11,20544,Depression diagnosed by professional,0.066026038,0.044889623,0.042298687,0.03700907,0.038950755,0.045550307,0.038789976,0.044138706,0.043829739,0.040250469,0.044173337,0.008209444
20531-0.0,20531,Victim of sexual assault,0.03567755,0.031819979,0.029994295,0.034291509,0.030584369,0.030210736,0.033909319,0.035766041,0.034020133,0.034349707,0.033062364,0.002215616
20489-0.0,20489,Felt loved as a child,0.023337857,0.026535652,0.025943039,0.024865274,0.029619177,0.028756113,0.028559181,0.02888815,0.025613985,0.02521933,0.026733776,0.002098263
2149-0.0,2149,Lifetime number of sexual partners,0.024136326,0.019930129,0.022912109,0.017112608,0.020826838,0.022846086,0.02109812,0.020093137,0.019096105,0.020643933,0.020869539,0.002043977
99999992-0.0,99999992,Traumatic events,0.02158525,0.017612512,0.020091093,0.020528827,0.024256618,0.013511168,0.01803709,0.017439589,0.020392809,0.016940617,0.019039557,0.002970656
20487-0.0,20487,Felt hated by family member as a child,0.018537991,0.019093886,0.018928375,0.017553072,0.017720089,0.018808524,0.019076811,0.016153881,0.021709836,0.019136718,0.018671918,0.001429361
20523-0.0,20523,Physical violence by partners,0.01257134,0.018385775,0.015599423,0.01685082,0.016556181,0.017103355,0.016169191,0.017487949,0.016432224,0.018474645,0.01656309,0.001674691
20521-0.0,20521,Belittlement by partners,0.013607108,0.014407344,0.018102448,0.013477405,0.010126077,0.015582896,0.012715599,0.0135345,0.013714373,0.01377908,0.013904683,0.00202326
20436-0.0,20436,Fraction of day affected during depression,0.009638834,0.014309639,0.014863969,0.016089957,0.014557001,0.010228077,0.01144308,0.01208556,0.018446426,0.011274079,0.013293662,0.00281233
20162-0.0,20162,Smoking years as proportion of life span,0.011222475,0.01420281,0.01220409,0.014541362,0.011949642,0.012415547,0.014417615,0.010813893,0.012778456,0.013352704,0.012789859,0.001315761
2139-0.0,2139,Age first had sexual intercourse,0.008963286,0.010980943,0.011559383,0.012667224,0.01281934,0.013690636,0.010174298,0.008172489,0.010363158,0.010245314,0.010963607,0.00174576
20546-0.0-4,20546,Drugs or alcohol  taken for depression,0.00911612,0.009967943,0.010450484,0.007869062,0.009953021,0.008547558,0.011514658,0.010910756,0.010722163,0.011113896,0.010016566,0.001179506
20513-0.0,20513,Recent thoughts of suicide or self-harm,0.006949241,0.009945114,0.007480502,0.009140238,0.011165296,0.009797409,0.00979614,0.010139588,0.009744726,0.009766671,0.009392492,0.001259901
189-0.0,189,Townsend deprivation index ,0.013044123,0.007858064,0.00717303,0.009378304,0.006528045,0.010275895,0.008595049,0.009973066,0.00957462,0.008626296,0.009102649,0.001836472
699-0.0,699,Length of time at current address,0.008693066,0.007892963,0.007780828,0.007121345,0.006422144,0.007670673,0.008122421,0.009058148,0.00826427,0.006807861,0.007783372,0.000821
